关卡ID	关卡名称	关卡描述	关卡目标对话	关卡目标类型	关卡目标	关卡类型	所在地图ID	关卡需求等级	首次通关后是否再挑战	每天挑战次数	关卡战斗背景	关卡正常背景	前置关卡	首次掉落	活动掉落	关卡掉落	关卡宝箱	扫荡额外掉落	关卡开启时间	体力消耗	通关角色经验	通关卡片经验	通关金钱	保底金钱	保底经验	推荐战斗力	最大回合	关卡回合	1回合前排怪1	1回合前排怪2	1回合前排怪3	1回合后排1	1回合后排2	1回合后排3	2回合前排怪1	2回合前排怪2	2回合前排怪3	2回合后排1	2回合后排2	2回合后排3	3回合前排怪1	3回合前排怪2	3回合前排怪3	3回合后排1	3回合后排2	3回合后排3	掉落显示	怪物显示	关卡图标位置
11603	Stage_StageNameId_10240	Stage_StageExplainId_10240	Stage_StageTargetTalk_2009	1,4	10,0	1	116	1	0	0	battle04	stage_xqnm03	11602			40000,51601,51600	0	61600	0	6	6	270	1435	0	0	0	20	3	0	1256	0	1256	1256	1256	1257	1257	0	1257	1257	0	1258	0	1258	1258	0	1258	4020000,4020022,4020015	1256,1257,1258	-484,52
11604	Stage_StageNameId_10241	Stage_StageExplainId_10241	Stage_StageTargetTalk_2000	1,4	10,0	2	116	1	0	0	battle04	stage_xqnm03	11603			40000,51601,51600	6:1,2:10,1:32000	61600	0	6	6	270	1441	0	0	0	20	3	1257	1257	0	1257	1257	0	1256	0	1256	0	1265	0	0	1266	0	0	1267	0	4020000,4020022,4020015	1257,1256,1266	-275,120
11605	Stage_StageNameId_10242	Stage_StageExplainId_10242	Stage_StageTargetTalk_2001	1,4	10,0	1	116	1	0	0	battle04	stage_xqnm03	11604			40000,51605,51600	0	61600	0	6	6	270	1447	0	0	0	20	3	1258	1258	1257	0	0	0	1258	0	1258	1258	0	1258	1256	1256	1256	1256	1256	1256	4020000,4020023,4020013	1258,1258,1256	-101,34
11606	Stage_StageNameId_10243	Stage_StageExplainId_10243	Stage_StageTargetTalk_2002	1,4	10,0	1	116	1	0	0	battle04	stage_xqnm03	11605			40000,51605,51600	0	61600	0	6	6	270	1453	0	0	0	20	3	1258	1258	1258	0	1258	0	1268	0	1265	0	0	0	0	1269	0	0	1270	0	4020000,4020023,4020013	1258,1268,1269	120,-130
11607	Stage_StageNameId_10244	Stage_StageExplainId_10244	Stage_StageTargetTalk_2003	1,4	10,0	2	116	1	0	0	battle04	stage_xqnm03	11606			40000,51605,51600	6:1,2:10,1:32000	61600	0	6	6	270	1459	0	0	0	20	3	0	1256	1256	0	1256	1256	0	1257	0	1257	1257	1257	0	1258	1258	1258	1258	0	4020000,4020023,4020013	1256,1257,1258	260,62
11608	Stage_StageNameId_10245	Stage_StageExplainId_10245	Stage_StageTargetTalk_2004	1,4	10,0	1	116	1	0	0	battle04	stage_xqnm03	11607			40000,51608,51600	0	61600	0	6	6	270	1465	0	0	0	20	3	0	1271	0	0	0	0	0	1266	0	0	0	0	0	1272	0	0	0	0	4020000,4020024,4020014	1271,1266,1272	28,82
11609	Stage_StageNameId_10246	Stage_StageExplainId_10246	Stage_StageTargetTalk_2005	1,4	10,0	1	116	1	0	0	battle04	stage_xqnm03	11608			40000,51608,51600	6:1,2:10,1:32000	61600	0	6	6	270	1471	0	0	0	20	3	0	1273	0	0	0	0	0	1274	0	0	0	0	0	1275	0	0	0	0	4020000,4020024,4020014	1273,1274,1275	98,152
11610	Stage_StageNameId_10247	Stage_StageExplainId_10247	Stage_StageTargetTalk_2006	1,4	10,0	3	116	1	0	0	battle04	stage_xqnm03	11609			40000,51608,51600	0	61600	0	6	6	270	1477	0	0	0	20	3	0	1276	0	0	0	0	0	1277	0	0	0	0	0	1278	0	0	0	0	4020000,4020024,4020014	1276,1277,1278	327,152
11701	Stage_StageNameId_10248	Stage_StageExplainId_10248	Stage_StageTargetTalk_2007	1,4	10,0	1	117	1	0	0	battle05	stage_xqnm03	11610			40000,51701,51700	0	61700	0	6	6	305	1483	0	0	0	20	3	0	1279	0	1279	0	1279	1280	0	1279	1279	1279	1279	1280	1280	1280	1280	1280	1280	4020000,4020022	1279,1280,1280	-251,-78
11702	Stage_StageNameId_10249	Stage_StageExplainId_10249	Stage_StageTargetTalk_2008	1,4	10,0	1	117	1	0	0	battle05	stage_xqnm03	11701			40000,51701,51700	0	61700	0	6	6	305	1489	0	0	0	20	3	0	1279	0	1279	0	1279	1280	1280	1280	1281	1281	1281	0	1285	0	0	1286	0	4020000,4020022	1279,1280,1285	-493,-68
11703	Stage_StageNameId_10250	Stage_StageExplainId_10250	Stage_StageTargetTalk_2009	1,4	10,0	1	117	1	0	0	battle05	stage_xqnm03	11702			40000,51701,51700	0	61700	0	6	6	305	1495	0	0	0	20	3	1281	1281	1281	0	1281	0	1279	1279	1279	0	1279	0	0	1280	0	1280	1280	1280	4020000,4020022	1281,1279,1280	-484,52
11704	Stage_StageNameId_10251	Stage_StageExplainId_10251	Stage_StageTargetTalk_2000	1,4	10,0	2	117	1	0	0	battle05	stage_xqnm03	11703			40000,51701,51700	6:1,2:10,1:34000	61700	0	6	6	305	1501	0	0	0	20	3	0	0	1281	0	0	1281	0	1287	0	0	1288	0	0	1289	0	0	1290	0	4020000,4020022	1281,1287,1289	-275,120
11705	Stage_StageNameId_10252	Stage_StageExplainId_10252	Stage_StageTargetTalk_2001	1,4	10,0	1	117	1	0	0	battle05	stage_xqnm03	11704			40000,51705,51700	0	61700	0	6	6	305	1507	0	0	0	20	3	0	1280	0	0	1280	0	0	1281	0	1281	1281	1281	1279	1279	1279	0	1279	0	4020000,4020023	1280,1281,1279	-101,34
11706	Stage_StageNameId_10253	Stage_StageExplainId_10253	Stage_StageTargetTalk_2002	1,4	10,0	1	117	1	0	0	battle05	stage_xqnm03	11705			40000,51705,51700	0	61700	0	6	6	305	1513	0	0	0	20	3	1281	1281	1281	0	1281	0	1280	1291	1280	0	0	0	0	1292	0	0	1293	0	4020000,4020023	1281,1280,1292	120,-130
11707	Stage_StageNameId_10254	Stage_StageExplainId_10254	Stage_StageTargetTalk_2003	1,4	10,0	2	117	1	0	0	battle05	stage_xqnm03	11706			40000,51705,51700	6:1,2:10,1:34000	61700	0	6	6	305	1519	0	0	0	20	3	1279	1279	1279	1279	1279	1279	1281	0	1281	0	1281	0	0	1289	0	0	1294	0	4020000,4020023	1279,1281,1289	260,62
11708	Stage_StageNameId_10255	Stage_StageExplainId_10255	Stage_StageTargetTalk_2004	1,4	10,0	1	117	1	0	0	battle05	stage_xqnm03	11707			40000,51708,51700	0	61700	0	6	6	305	1525	0	0	0	20	3	1280	1280	1280	0	0	0	1279	1279	1279	0	0	0	1281	1281	1281	0	1280	0	4020000,4020024	1280,1279,1281	28,82
11709	Stage_StageNameId_10256	Stage_StageExplainId_10256	Stage_StageTargetTalk_2005	1,4	10,0	1	117	1	0	0	battle05	stage_xqnm03	11708			40000,51708,51700	6:1,2:10,1:34000	61700	0	6	6	305	1531	0	0	0	20	3	0	1290	0	0	0	0	0	1295	0	0	0	0	0	1296	0	0	0	0	4020000,4020024	1290,1295,1296	98,152
11710	Stage_StageNameId_10257	Stage_StageExplainId_10257	Stage_StageTargetTalk_2006	1,4	10,0	3	117	1	0	0	battle05	stage_xqnm03	11709			40000,51708,51700	0	61700	0	6	6	305	1537	0	0	0	20	3	0	1281	0	1281	1281	1281	1280	0	1280	0	0	0	0	1297	0	0	0	0	4020000,4020024	1281,1280,1297	327,152
11801	Stage_StageNameId_10258	Stage_StageExplainId_10258	Stage_StageTargetTalk_2007	1,4	10,0	1	118	1	0	0	battle06	stage_xqnm03	11710			40000,51801,51800	0	61800	0	6	6	340	1543	0	0	0	20	3	1298	1298	1298	0	0	0	0	1298	0	0	1298	0	0	1299	0	1299	0	1299	4020000,4020025,4020018	1298,1298,1299	-251,-78
11802	Stage_StageNameId_10259	Stage_StageExplainId_10259	Stage_StageTargetTalk_2008	1,4	10,0	1	118	1	0	0	battle06	stage_xqnm03	11801			40000,51801,51800	0	61800	0	6	6	340	1549	0	0	0	20	3	1299	1299	1299	0	1298	0	1298	1298	1298	0	0	0	1300	1304	1300	0	0	0	4020000,4020025,4020018	1299,1298,1300	-493,-68
11803	Stage_StageNameId_10260	Stage_StageExplainId_10260	Stage_StageTargetTalk_2009	1,4	10,0	1	118	1	0	0	battle06	stage_xqnm03	11802			40000,51801,51800	0	61800	0	6	6	340	1555	0	0	0	20	3	1298	0	1298	1298	0	1298	0	1300	0	1299	0	1299	1300	1300	1300	1299	1299	1299	4020000,4020025,4020018	1298,1300,1300	-484,52
11804	Stage_StageNameId_10261	Stage_StageExplainId_10261	Stage_StageTargetTalk_2000	1,4	10,0	2	118	1	0	0	battle06	stage_xqnm03	11803			40000,51801,51800	6:1,2:10,1:36000	61800	0	6	6	340	1561	0	0	0	20	3	0	1300	0	1299	0	1299	1298	0	1298	1300	1300	1300	0	1305	0	0	1306	0	4020000,4020025,4020018	1300,1298,1305	-275,120
11805	Stage_StageNameId_10262	Stage_StageExplainId_10262	Stage_StageTargetTalk_2001	1,4	10,0	1	118	1	0	0	battle06	stage_xqnm03	11804			40000,51805,51800	0	61800	0	6	6	340	1567	0	0	0	20	3	0	1299	0	1300	0	1300	1299	0	1299	1298	1298	1298	1298	0	1300	1300	0	1300	4020000,4020026,4020016	1299,1299,1298	-101,34
11806	Stage_StageNameId_10263	Stage_StageExplainId_10263	Stage_StageTargetTalk_2002	1,4	10,0	1	118	1	0	0	battle06	stage_xqnm03	11805			40000,51805,51800	0	61800	0	6	6	340	1573	0	0	0	20	3	0	0	0	1299	1299	1299	0	1300	0	0	1298	0	1307	1308	1309	0	0	0	4020000,4020026,4020016	1299,1300,1307	120,-130
11807	Stage_StageNameId_10264	Stage_StageExplainId_10264	Stage_StageTargetTalk_2003	1,4	10,0	2	118	1	0	0	battle06	stage_xqnm03	11806			40000,51805,51800	6:1,2:10,1:36000	61800	0	6	6	340	1579	0	0	0	20	3	1299	0	1299	1298	1298	1298	1300	0	1300	0	1300	0	1310	1311	1312	0	1313	0	4020000,4020026,4020016	1299,1300,1310	260,62
11808	Stage_StageNameId_10265	Stage_StageExplainId_10265	Stage_StageTargetTalk_2004	1,4	10,0	1	118	1	0	0	battle06	stage_xqnm03	11807			40000,51808,51800	0	61800	0	6	6	340	1585	0	0	0	20	3	1300	0	1298	1300	1300	1300	0	1300	0	1299	1299	1299	1298	1298	1298	1300	1300	1300	4020000,4020027,4020017	1300,1300,1298	28,82
11809	Stage_StageNameId_10266	Stage_StageExplainId_10266	Stage_StageTargetTalk_2005	1,4	10,0	1	118	1	0	0	battle06	stage_xqnm03	11808			40000,51808,51800	6:1,2:10,1:36000	61800	0	6	6	340	1591	0	0	0	20	3	0	1308	0	0	0	0	0	1310	0	0	0	0	1299	1299	1299	0	1314	0	4020000,4020027,4020017	1308,1310,1299	98,152
11810	Stage_StageNameId_10267	Stage_StageExplainId_10267	Stage_StageTargetTalk_2006	1,4	10,0	3	118	1	0	0	battle06	stage_xqnm03	11809			40000,51808,51800	0	61800	0	6	6	340	1597	0	0	0	20	3	1298	1298	1298	0	0	0	0	1315	0	0	1316	0	1300	1300	1300	0	1317	0	4020000,4020027,4020017	1298,1315,1300	327,152
11901	Stage_StageNameId_10268	Stage_StageExplainId_10268	Stage_StageTargetTalk_2007	1,4	10,0	1	119	1	0	0	battle01	stage_xqnm03	11810			40000,51901,51900	0	61900	0	6	6	385	1603	0	0	0	20	3	0	0	0	1318	1318	1318	0	1318	0	1319	0	1319	0	1319	0	1318	0	1318	4020000,4020028	1318,1318,1319	-251,-78
11902	Stage_StageNameId_10269	Stage_StageExplainId_10269	Stage_StageTargetTalk_2008	1,4	10,0	1	119	1	0	0	battle01	stage_xqnm03	11901			40000,51901,51900	0	61900	0	6	6	385	1609	0	0	0	20	3	0	1319	0	1319	0	1319	1318	1318	1318	0	0	0	1324	1325	1326	0	0	0	4020000,4020028	1319,1318,1324	-493,-68
11903	Stage_StageNameId_10270	Stage_StageExplainId_10270	Stage_StageTargetTalk_2009	1,4	10,0	1	119	1	0	0	battle01	stage_xqnm03	11902			40000,51901,51900	0	61900	0	6	6	385	1615	0	0	0	20	3	1319	0	1319	1320	0	1320	0	1318	0	0	1320	0	1319	1319	1319	1320	1320	1320	4020000,4020028	1319,1318,1319	-484,52
11904	Stage_StageNameId_10271	Stage_StageExplainId_10271	Stage_StageTargetTalk_2000	1,4	10,0	2	119	1	0	0	battle01	stage_xqnm03	11903			40000,51901,51900	6:1,2:10,1:38000	61900	0	6	6	385	1621	0	0	0	20	3	1318	1318	1318	0	0	0	0	1319	0	1320	1320	1320	0	1327	0	1328	0	1329	4020000,4020028	1318,1319,1327	-275,120
11905	Stage_StageNameId_10272	Stage_StageExplainId_10272	Stage_StageTargetTalk_2001	1,4	10,0	1	119	1	0	0	battle01	stage_xqnm03	11904			40000,51905,51900	0	61900	0	6	6	385	1627	0	0	0	20	3	0	1319	0	1318	0	1318	1319	0	1319	1318	1318	1318	1319	0	1319	1320	1320	1320	4020000,4020029	1319,1319,1319	-101,34
11906	Stage_StageNameId_10273	Stage_StageExplainId_10273	Stage_StageTargetTalk_2002	1,4	10,0	1	119	1	0	0	battle01	stage_xqnm03	11905			40000,51905,51900	0	61900	0	6	6	385	1633	0	0	0	20	3	0	0	0	1320	1320	1320	1318	1318	1318	0	1320	0	0	1330	0	0	1331	0	4020000,4020029	1320,1318,1330	120,-130
11907	Stage_StageNameId_10274	Stage_StageExplainId_10274	Stage_StageTargetTalk_2003	1,4	10,0	2	119	1	0	0	battle01	stage_xqnm03	11906			40000,51905,51900	6:1,2:10,1:38000	61900	0	6	6	385	1639	0	0	0	20	3	0	0	0	1320	1320	1320	1319	1319	1319	0	0	0	1332	1333	1334	0	0	0	4020000,4020029	1320,1319,1332	260,62
11908	Stage_StageNameId_10275	Stage_StageExplainId_10275	Stage_StageTargetTalk_2004	1,4	10,0	1	119	1	0	0	battle01	stage_xqnm03	11907			40000,51908,51900	0	61900	0	6	6	385	1645	0	0	0	20	3	1319	0	1319	1318	1318	1318	0	1319	0	1320	1320	1320	1318	1318	1318	0	1320	0	4020000,4020030	1319,1319,1318	28,82
11909	Stage_StageNameId_10276	Stage_StageExplainId_10276	Stage_StageTargetTalk_2005	1,4	10,0	1	119	1	0	0	battle01	stage_xqnm03	11908			40000,51908,51900	6:1,2:10,1:38000	61900	0	6	6	385	1651	0	0	0	20	3	1319	1319	1319	1320	0	0	1319	1319	1319	1318	1318	1318	0	0	0	1335	1336	1329	4020000,4020030	1319,1319,1335	98,152
11910	Stage_StageNameId_10277	Stage_StageExplainId_10277	Stage_StageTargetTalk_2006	1,4	10,0	3	119	1	0	0	battle01	stage_xqnm03	11909			40000,51908,51900	0	61900	0	6	6	385	1657	0	0	0	20	3	1319	1319	1319	0	0	0	1318	0	1318	1320	0	1320	0	1332	0	1329	0	1336	4020000,4020030	1319,1318,1332	327,152
12001	Stage_StageNameId_10278	Stage_StageExplainId_10278	Stage_StageTargetTalk_2007	1,4	10,0	1	120	1	0	0	battle06	stage_xqnm03	11910			40000,52001,52000	0	62000	0	6	6	430	1663	0	0	0	20	3	1337	0	1337	1337	0	1337	1338	1338	1338	0	0	0	0	0	0	0	1343	0	4020000,4020031,4020021	1337,1338,1343	-251,-78
12002	Stage_StageNameId_10279	Stage_StageExplainId_10279	Stage_StageTargetTalk_2008	1,4	10,0	1	120	1	0	0	battle06	stage_xqnm03	12001			40000,52001,52000	0	62000	0	6	6	430	1669	0	0	0	20	3	1337	1337	1337	0	1338	0	1339	1339	0	1338	1338	0	1337	1337	1337	0	0	0	4020000,4020031,4020021	1337,1339,1337	-493,-68
12003	Stage_StageNameId_10280	Stage_StageExplainId_10280	Stage_StageTargetTalk_2009	1,4	10,0	1	120	1	0	0	battle06	stage_xqnm03	12002			40000,52001,52000	0	62000	0	6	6	430	1675	0	0	0	20	3	0	1339	0	0	1338	0	1337	0	1337	0	0	0	1344	1345	1346	0	0	0	4020000,4020031,4020021	1339,1337,1344	-484,52
12004	Stage_StageNameId_10281	Stage_StageExplainId_10281	Stage_StageTargetTalk_2000	1,4	10,0	2	120	1	0	0	battle06	stage_xqnm03	12003			40000,52001,52000	6:1,2:10,1:40000	62000	0	6	6	430	1681	0	0	0	20	3	1339	1339	1339	0	0	0	1337	0	1337	1338	1338	1338	0	1347	0	0	0	0	4020000,4020031,4020021	1339,1337,1347	-275,120
12005	Stage_StageNameId_10282	Stage_StageExplainId_10282	Stage_StageTargetTalk_2001	1,4	10,0	1	120	1	0	0	battle06	stage_xqnm03	12004			40000,52005,52000	0	62000	0	6	6	430	1687	0	0	0	20	3	1339	0	1339	1338	0	0	1337	0	1337	0	1338	0	1339	1339	1339	0	1337	0	4020000,4020032,4020019	1339,1337,1339	-101,34
12006	Stage_StageNameId_10283	Stage_StageExplainId_10283	Stage_StageTargetTalk_2002	1,4	10,0	1	120	1	0	0	battle06	stage_xqnm03	12005			40000,52005,52000	0	62000	0	6	6	430	1693	0	0	0	20	3	0	1339	0	0	1338	0	0	1339	1339	0	1337	1337	1347	1348	1345	0	0	0	4020000,4020032,4020019	1339,1339,1347	120,-130
12007	Stage_StageNameId_10284	Stage_StageExplainId_10284	Stage_StageTargetTalk_2003	1,4	10,0	2	120	1	0	0	battle06	stage_xqnm03	12006			40000,52005,52000	6:1,2:10,1:40000	62000	0	6	6	430	1699	0	0	0	20	3	1339	0	1339	0	0	0	1337	0	1337	0	1338	0	0	1349	0	0	1350	0	4020000,4020032,4020019	1339,1337,1349	260,62
12008	Stage_StageNameId_10285	Stage_StageExplainId_10285	Stage_StageTargetTalk_2004	1,4	10,0	1	120	1	0	0	battle06	stage_xqnm03	12007			40000,52008,52000	0	62000	0	6	6	430	1705	0	0	0	20	3	1339	1339	1339	0	0	0	0	1337	0	1338	1338	1338	1339	1339	1339	0	1338	0	4020000,4020033,4020020	1339,1337,1339	28,82
12009	Stage_StageNameId_10286	Stage_StageExplainId_10286	Stage_StageTargetTalk_2005	1,4	10,0	1	120	1	0	0	battle06	stage_xqnm03	12008			40000,52008,52000	6:1,2:10,1:40000	62000	0	6	6	430	1711	0	0	0	20	3	1337	1337	1337	0	0	0	1339	1339	1339	0	1337	0	0	0	0	0	1351	0	4020000,4020033,4020020	1337,1339,1351	98,152
12010	Stage_StageNameId_10287	Stage_StageExplainId_10287	Stage_StageTargetTalk_2006	1,4	10,0	3	120	1	0	0	battle06	stage_xqnm03	12009			40000,52008,52000	0	62000	0	6	6	430	1717	0	0	0	20	3	0	1347	0	0	0	0	0	0	0	0	1352	0	0	0	0	0	1353	0	4020000,4020033,4020020	1347,1352,1353	327,152
12101	Stage_StageNameId_10288	Stage_StageExplainId_10288	Stage_StageTargetTalk_2007	1,4	10,0	1	121	1	0	0	battle03	stage_xqnm03	12010			40000,52001,52000	0	62000	0	6	6	470	1723	0	0	0	20	3	1354	1354	1354	0	0	0	0	1355	0	1355	0	0	0	1354	0	1355	0	1355	4020000,4020031,4020021	1354,1355,1354	-251,-78
12102	Stage_StageNameId_10289	Stage_StageExplainId_10289	Stage_StageTargetTalk_2008	1,4	10,0	1	121	1	0	0	battle03	stage_xqnm03	12101			40000,52001,52000	0	62000	0	6	6	470	1729	0	0	0	20	3	1356	1356	1356	0	1355	0	1354	1354	1354	0	0	0	1356	1360	1356	0	0	0	4020000,4020031,4020021	1356,1354,1356	-493,-68
12103	Stage_StageNameId_10290	Stage_StageExplainId_10290	Stage_StageTargetTalk_2009	1,4	10,0	1	121	1	0	0	battle03	stage_xqnm03	12102			40000,52001,52000	0	62000	0	6	6	470	1735	0	0	0	20	3	1356	0	1356	1354	0	1354	0	1356	0	0	1355	0	0	1361	0	0	0	0	4020000,4020031,4020021	1356,1356,1361	-484,52
12104	Stage_StageNameId_10291	Stage_StageExplainId_10291	Stage_StageTargetTalk_2000	1,4	10,0	2	121	1	0	0	battle03	stage_xqnm03	12103			40000,52001,52000	6:1,2:10,1:40000	62000	0	6	6	470	1741	0	0	0	20	3	1354	1354	1354	0	0	0	0	1356	0	1355	1355	1355	0	1362	0	0	1360	0	4020000,4020031,4020021	1354,1356,1362	-275,120
12105	Stage_StageNameId_10292	Stage_StageExplainId_10292	Stage_StageTargetTalk_2001	1,4	10,0	1	121	1	0	0	battle03	stage_xqnm03	12104			40000,52005,52000	0	62000	0	6	6	470	1747	0	0	0	20	3	0	1356	0	1355	0	1355	1354	0	1354	1355	1355	1355	1356	0	1356	1354	1354	1354	4020000,4020032,4020019	1356,1354,1356	-101,34
12106	Stage_StageNameId_10293	Stage_StageExplainId_10293	Stage_StageTargetTalk_2002	1,4	10,0	1	121	1	0	0	battle03	stage_xqnm03	12105			40000,52005,52000	0	62000	0	6	6	470	1753	0	0	0	20	3	0	0	0	1355	1355	1355	0	1354	0	0	1355	0	1361	1363	1364	0	0	0	4020000,4020032,4020019	1355,1354,1361	120,-130
12107	Stage_StageNameId_10294	Stage_StageExplainId_10294	Stage_StageTargetTalk_2003	1,4	10,0	2	121	1	0	0	battle03	stage_xqnm03	12106			40000,52005,52000	6:1,2:10,1:40000	62000	0	6	6	470	1759	0	0	0	20	3	0	1354	1354	1355	1355	1355	1356	0	1356	0	1355	0	1354	1354	1354	0	1365	0	4020000,4020032,4020019	1354,1356,1354	260,62
12108	Stage_StageNameId_10295	Stage_StageExplainId_10295	Stage_StageTargetTalk_2004	1,4	10,0	1	121	1	0	0	battle03	stage_xqnm03	12107			40000,52008,52000	0	62000	0	6	6	470	1765	0	0	0	20	3	1356	0	1356	1354	1354	1354	0	1354	0	1355	1355	1355	1356	1356	1356	0	1355	0	4020000,4020033,4020020	1356,1354,1356	28,82
12109	Stage_StageNameId_10296	Stage_StageExplainId_10296	Stage_StageTargetTalk_2005	1,4	10,0	1	121	1	0	0	battle03	stage_xqnm03	12108			40000,52008,52000	6:1,2:10,1:40000	62000	0	6	6	470	1771	0	0	0	20	3	1354	1354	1354	1356	0	0	1356	1356	1356	1354	1354	1354	1354	1354	1354	0	1366	0	4020000,4020033,4020020	1354,1356,1354	98,152
12110	Stage_StageNameId_10297	Stage_StageExplainId_10297	Stage_StageTargetTalk_2006	1,4	10,0	3	121	1	0	0	battle03	stage_xqnm03	12109			40000,52008,52000	0	62000	0	6	6	470	1777	0	0	0	20	3	1356	1356	1356	1356	0	0	1354	1354	1354	1355	1355	1355	0	1367	0	0	0	0	4020000,4020033,4020020	1356,1354,1367	327,152
20101	Stage_StageNameId_20101		Stage_StageTargetTalk_2000	2,4	30,0	1	201	1	0	3	battle01	stage_xqnm03	10101	0	0	75000,80100,80101,75001	4070028:2,6:1,2:20,1:12000	70100	0	12	12	25	600	0	0	19000	20	2	1368	1368	1368	0	0	0	0	1374	0	1368	1368	1368	0	0	0	0	0	0	4070028,4030001,4020000	1368,1374	-357,130
20102	Stage_StageNameId_20102		Stage_StageTargetTalk_2001	2,4	30,0	1	201	1	0	3	battle01	stage_xqnm03	10102,20101	0	0	75000,80100,80102,75001	4070005:2,6:1,2:20,1:2000	70100	0	12	12	25	613	0	0	19100	20	2	1368	1368	1368	0	0	0	1375	0	1376	0	1009	0	0	0	0	0	0	0	4030001,4020000	1368,1375	80,-125
20103	Stage_StageNameId_20103		Stage_StageTargetTalk_2002	2,4	30,0	1	201	1	0	3	battle01	stage_xqnm03	10103,20102	0	0	75000,80100,80103,75001	4070018:2,6:1,2:20,1:2000	70100	0	12	12	25	625	0	0	19200	20	2	1368	0	1368	0	1368	0	0	1377	0	1368	1368	1368	0	0	0	0	0	0	4070018,4030001,4020000	1368,1377	336,145
20201	Stage_StageNameId_20201		Stage_StageTargetTalk_2003	2,4	30,0	1	202	1	0	3	battle06	stage_xqnm03	10202,20103	0	0	75000,80100,75002,80201	4030001:2,6:1,2:20,1:2000	70200	0	12	12	30	637	0	0	19300	20	2	1378	1378	1378	1378	1378	1378	1378	1378	1378	1384	0	1385	0	0	0	0	0	0	4030001,4020000	1378,1378	-95,-195
20202	Stage_StageNameId_20202		Stage_StageTargetTalk_2004	2,4	30,0	1	202	1	0	3	battle06	stage_xqnm03	10204,20201	0	0	75000,80100,75002,80202	4070002:2,6:1,2:20,1:2000	70200	0	12	12	30	649	0	0	19400	20	2	1378	0	1378	1378	0	1378	0	1386	0	0	1387	0	0	0	0	0	0	0	4070002,4030001,4020000	1378,1386	-455,-50
20203	Stage_StageNameId_20203		Stage_StageTargetTalk_2005	2,4	30,0	1	202	1	0	3	battle06	stage_xqnm03	10206,20202	0	0	75000,80100,75002,80203	4030001:2,6:1,2:20,1:2000	70200	0	12	12	30	661	0	0	19500	20	2	1378	1378	1378	1378	1378	1378	0	1388	0	0	1389	0	0	0	0	0	0	0	4030001,4020000	1378,1388	-357,130
20204	Stage_StageNameId_20204		Stage_StageTargetTalk_2006	2,4	30,0	3	202	1	0	3	battle06	stage_xqnm03	10208,20203	0	0	75000,80100,75002,80204	4070001:2,6:1,2:20,1:2000	70200	0	12	12	30	673	0	0	19600	20	2	0	1378	0	1378	1378	1378	1390	1391	1386	0	0	0	0	0	0	0	0	0	4070001,4030001,4020000	1378,1390	-156,93
20301	Stage_StageNameId_20301		Stage_StageTargetTalk_2001	2,4	30,0	1	203	1	0	3	battle03	stage_xqnm03	10302,20204	0	0	75000,80100,75003,80301	4030002:2,6:1,2:20,1:2000	70300	0	12	12	35	685	0	0	19700	20	3	1392	1392	1392	1392	1392	1392	1392	1392	1392	1392	1392	1392	1392	1392	1392	1392	1392	1392	4030002,4020000	1392,1392,1392	-48,-25
20302	Stage_StageNameId_20302		Stage_StageTargetTalk_2002	2,4	30,0	1	203	1	0	3	battle03	stage_xqnm03	10304,20301	0	0	75000,80100,75003,80302	4070020:2,6:1,2:20,1:2000	70300	0	12	12	35	697	0	0	19800	20	3	1392	0	1392	0	1392	0	1392	1392	1392	1392	0	1392	1398	0	1399	0	0	0	4070020,4030002,4020000	1392,1392,1398	80,-125
20303	Stage_StageNameId_20303		Stage_StageTargetTalk_2003	2,4	30,0	1	203	1	0	3	battle03	stage_xqnm03	10306,20302	0	0	75000,80100,75003,80303	4070022:2,6:1,2:20,1:2000	70300	0	12	12	35	709	0	0	19900	20	3	1392	1392	1392	0	0	0	1392	1392	1392	0	1392	0	0	1400	0	0	1401	0	4070022,4030002,4020000	1392,1392,1400	56,157
20304	Stage_StageNameId_20304		Stage_StageTargetTalk_2004	2,4	30,0	3	203	1	0	3	battle03	stage_xqnm03	10308,20303	0	0	75000,80100,75003,80304	4070005:2,6:1,2:20,1:2000	70300	0	12	12	35	721	0	0	20000	20	3	1392	1392	1392	0	0	0	1392	1392	1392	0	0	0	1392	1392	1392	0	1399	0	4070005,4030002,4020000	1392,1392,1392	336,145
20401	Stage_StageNameId_20401			2,4	30,0	1	204	1	0	0	battle04	stage_xqnm03	10402,20304			75000,80400,75004,80401	4030002:2,6:1,2:20,1:6000	70400	0	12	12	40	733	0	0	0	0	3	1402	0	1402	1402	0	1402	1402	1402	1402	0	1402	0	0	1408	0	0	0	0	4070018,4030002,4020000	1402,1402,1408	-48,-25
20402	Stage_StageNameId_20402			2,4	30,0	1	204	1	0	0	battle04	stage_xqnm03	10404,20401			75000,80400,75004,80402	4070017:2,6:1,2:20,1:6000	70400	0	12	12	40	745	0	0	0	0	3	1402	1402	1402	0	0	1402	0	1402	0	1402	1402	1402	0	1409	0	0	1410	0	4070017,4030002,4020000	1402,1402,1409	80,-125
20403	Stage_StageNameId_20403			2,4	30,0	1	204	1	0	0	battle04	stage_xqnm03	10406,20402			75000,80400,75004,80403	4070028:2,6:1,2:20,1:6000	70400	0	12	12	40	757	0	0	0	0	3	1402	1402	1402	0	0	0	1402	1402	1402	1402	0	1402	0	1411	0	0	1412	0	4070028,4030002,4020000	1402,1402,1411	56,157
